Feature,Importance,MissingPercentage,Cumulative,Num_Categories
dateofcredstart_739D_days_from_decision,5.855340659670335,17.2,0.058553406596703404,-
avgdpdtolclosure24_3658938P,4.476486077418279,30.6,0.10331826737088624,-
dpdmax_139P,3.8969761001263112,17.45,0.14228802837214938,-
sex_738L,2.9979776562835645,0.0,0.17226780493498506,2.0
numberofcontrsvalue_358L,2.938188715140996,19.46,0.20164969208639505,-
pmtnum_254L,2.85765090676306,2.94,0.23022620115402564,-
mobilephncnt_593L,2.7649279103917803,0.0,0.2578754802579435,-
price_1097A,2.4732598959060286,14.62,0.2826080792170038,-
incometype_1044T,2.1861203147113732,0.0,0.3044692823641176,9.0
overdueamountmax_155A,2.0443910955934665,17.2,0.32491319332005225,-
pmtssum_45A,1.9580696847673806,62.49,0.3444938901677261,-
numberofoverdueinstlmax_1039L,1.6673613422279947,17.2,0.361167503590006,-
education_927M,1.6261559276231694,0.0,0.3774290628662377,6.0
birth_259D_days_from_decision,1.5224653620032067,0.0,0.3926537164862698,-
lastrejectreason_759M,1.415043820752906,0.0,0.4068041546937989,18.0
validfrom_1069D_days_from_decision,1.3935558800791854,90.06,0.4207397134945907,-
cntpmts24_3658933L,1.3068986714115642,30.18,0.4338087002087064,-
requesttype_4525192L,1.2918357794781306,0.0,0.44672705800348766,4.0
age_at_decision,1.276389647248486,0.0,0.45949095447597255,-
isbidproduct_1095L,1.2545979801956395,0.0,0.472036934277929,2.0
days180_256L,1.2091587474053085,9.23,0.48412852175198207,-
financialinstitution_591M,1.173652742890447,0.0,0.4958650491808866,182.0
dateofcredstart_181D_days_from_decision,1.1459310682063832,33.58,0.5073243598629503,-
numrejects9m_859L,1.0982567477358791,0.0,0.5183069273403093,-
days30_165L,1.0843414641578772,9.23,0.529150341981888,-
days120_123L,1.036048556754896,9.23,0.539510827549437,-
lastrejectreasonclient_4145040M,0.9991764635128715,0.0,0.5495025921845658,14.0
numinstlswithdpd10_728L,0.99713176117518,29.9,0.5594739097963176,-
dpdmaxdateyear_596T,0.9072669082689578,17.45,0.5685465788790072,-
numincomingpmts_3546848L,0.8910477341569364,29.81,0.5774570562205765,-
dpdmax_757P,0.8828528797516418,35.27,0.5862855850180929,-
currdebt_22A,0.7634861844798229,0.0,0.5939204468628911,-
numinstlsallpaid_934L,0.76295075828035,29.19,0.6015499544456947,-
days90_310L,0.7494475176797334,9.23,0.6090444296224921,-
monthsannuity_845L,0.7235253669192123,29.65,0.6162796832916841,-
maxdpdlast12m_727P,0.7193802924231413,20.05,0.6234734862159156,-
pmtscount_423L,0.7187350933751663,62.49,0.6306608371496673,-
numinsttopaygr_769L,0.715411384993829,29.65,0.6378149509996055,-
maxdpdlast3m_392P,0.69726051385297,20.05,0.6447875561381352,-
credtype_322L,0.6843534254519082,0.0,0.6516310903926542,4.0
totaldebtoverduevalue_178A,0.6716554735499274,17.2,0.6583476451281536,-
avgdbddpdlast24m_3658932P,0.6621711578709946,40.17,0.6649693567068635,-
maxdbddpdtollast12m_3658940P,0.6581511995842987,46.21,0.6715508687027065,-
firstclxcampaign_1125D_days_from_decision,0.6427424513627302,56.28,0.6779782932163338,-
numinstunpaidmaxest_4493212L,0.6417000195830392,55.06,0.6843952934121643,-
pctinstlsallpaidlate1d_3546856L,0.6348898088354737,30.05,0.690744191500519,-
riskassesment_302T,0.6257919592067441,0.0,0.6970021110925865,17.0
dateactivated_425D_days_from_decision,0.6195903586772687,54.41,0.7031980146793592,-
numberofoverdueinstlmax_1151L,0.6112163520127712,33.58,0.7093101781994869,-
numinstunpaidmax_3546851L,0.5992171295493486,29.65,0.7153023494949804,-
residualamount_856A,0.5834808786132765,48.35,0.7211371582811131,-
dateofbirth_337D_days_from_decision,0.5827887420627192,9.23,0.7269650457017404,-
pctinstlsallpaidlate4d_3546849L,0.5743791106716297,30.12,0.7327088368084567,-
status_219L,0.5741084185551748,0.0,0.7384499209940083,12.0
eir_270L,0.5562493691226786,12.5,0.7440124146852352,-
familystate_447L,0.5530509782415467,0.0,0.7495429244676506,6.0
maxdpdlast6m_474P,0.5322612715127865,20.05,0.7548655371827784,-
maxdpdlast9m_1059P,0.5291349658151349,20.05,0.7601568868409297,-
responsedate_4527233D_days_from_decision,0.5196297688326947,56.75,0.7653531845292567,-
disbursedcredamount_1113A,0.515916052692743,0.0,0.7705123450561842,-
totaldebt_9A,0.5125937541394044,0.0,0.7756382825975782,-
annuity_780A,0.5120360133325045,0.0,0.7807586427309032,-
maxdpdlast24m_143P,0.5031915762623486,20.05,0.7857905584935269,-
numinstpaidearly3d_3546850L,0.5014400597051241,29.28,0.790804959090578,-
overdueamountmaxdateyear_2T,0.5001432079169756,17.2,0.7958063911697477,-
applicationscnt_867L,0.45826108766850593,0.0,0.8003890020464328,-
numinstlallpaidearly3d_817L,0.4579537777962718,29.19,0.8049685398243955,-
totalamount_996A,0.40523609381186576,69.1,0.8090209007625142,-
overdueamountmax2date_1142D_days_from_decision,0.3892329743431819,71.17,0.8129132305059461,-
interestrate_311L,0.3869056625509861,12.5,0.816782287131456,-
lastdelinqdate_224D_days_from_decision,0.3710029854749959,64.06,0.8204923169862061,-
days360_512L,0.36893061935037924,9.23,0.8241816231797098,-
overdueamountmax2_14A,0.3544955796585937,17.2,0.8277265789762958,-
pmtaverage_3A,0.354303964158855,90.59,0.8312696186178843,-
registaddr_district_1083M,0.34702972697290385,0.0,0.8347399158876133,991.0
maxdbddpdlast1m_3658939P,0.3415755241512581,62.94,0.8381556711291259,-
maxdpdtolerance_577P,0.3369203738329021,53.79,0.8415248748674549,-
education_1103M,0.3317226199163411,0.0,0.8448421010666182,6.0
empl_employedfrom_271D_days_from_decision,0.3311368921839195,62.88,0.8481534699884574,-
disbursementtype_67L,0.32979370726967855,0.0,0.8514514070611542,4.0
cntincpaycont9m_3716944L,0.3065981836613024,29.82,0.8545173888977672,-
description_5085714M,0.3024435053624357,0.0,0.8575418239513916,3.0
rejectreasonclient_4145042M,0.2995340787604961,0.0,0.8605371647389966,15.0
education_1138M,0.2955988789555685,0.0,0.8634931535285523,7.0
maxdpdfrom6mto36m_3546853P,0.29378422042442703,22.49,0.8664309957327966,-
pctinstlsallpaidlat10d_839L,0.29082961869414053,30.22,0.869339291919738,-
empl_industry_691L,0.28996976810169456,0.0,0.8722389896007551,25.0
pctinstlsallpaidearl3d_427L,0.267350916275792,30.05,0.874912498763513,-
typesuite_864L,0.2662391019407302,0.0,0.8775748897829202,2.0
totalsettled_863A,0.26363721025255593,0.0,0.8802112618854457,-
credamount_770A,0.26295874000565306,0.0,0.8828408492855023,-
dpdmaxdateyear_896T,0.2622600502035897,35.27,0.8854634497875382,-
lastst_736L,0.2585886072283685,0.0,0.888049335859822,12.0
financialinstitution_382M,0.25784553504181773,0.0,0.8906277912102403,275.0
maxdbddpdtollast6m_4187119P,0.25639840785636203,57.4,0.8931917752888039,-
numinstlswithoutdpd_562L,0.2543710174303328,29.9,0.8957354854631072,-
rejectreason_755M,0.24491659910808714,0.0,0.898184651454188,19.0
avgdbdtollast24m_4525197P,0.24190879018540326,63.72,0.9006037393560421,-
overdueamountmax2date_1002D_days_from_decision,0.2384014900266325,75.51,0.9029877542563084,-
collater_typofvalofguarant_298M,0.2277092866286622,0.0,0.9052648471225951,6.0
avgmaxdpdlast9m_3716943P,0.22143945572661528,49.59,0.9074792416798612,-
lastupdate_388D_days_from_decision,0.21998256106399924,33.58,0.9096790672905012,-
dateofrealrepmt_138D_days_from_decision,0.21785014462072275,34.45,0.9118575687367084,-
totalamount_6A,0.20991292161777214,48.46,0.9139566979528861,-
homephncnt_628L,0.2095061594198778,0.0,0.916051759547085,-
avgdbddpdlast3m_4187120P,0.20217423190134765,62.11,0.9180735018660985,-
numberofqueries_373L,0.19873287545196833,9.23,0.9200608306206182,-
inittransactioncode_186L,0.19793052497367591,0.0,0.9220401358703548,4.0
approvaldate_319D_days_from_decision,0.1784505517285675,51.05,0.9238246413876405,-
sellerplacecnt_915L,0.17784255276926605,0.0,0.9256030669153332,-
maxdebt4_972A,0.16518188869748346,20.05,0.9272548858023081,-
familystate_726L,0.1603771449448211,0.0,0.9288586572517563,6.0
maxdpdtolerance_374P,0.15303600211217147,20.05,0.930389017272878,-
responsedate_4917613D_days_from_decision,0.15075552058920946,85.27,0.9318965724787701,-
tenor_203L,0.1493980232822897,28.91,0.933390552711593,-
purposeofcred_874M,0.13806537516521097,0.0,0.9347712064632452,22.0
numinstpaidearly3dest_4493216L,0.13661966321972796,55.06,0.9361374030954425,-
maxdpdinstldate_3546855D_days_from_decision,0.1343864103501579,54.11,0.9374812671989441,-
empl_employedtotal_800L,0.12465194787187042,0.0,0.9387277866776628,4.0
datefirstoffer_1144D_days_from_decision,0.12383420816637458,54.61,0.9399661287593265,-
overdueamountmax_35A,0.1235716303199483,35.09,0.9412018450625259,-
cardtype_51L,0.11497687939676415,0.0,0.9423516138564936,3.0
inittransactioncode_279L,0.11296842974385558,0.0,0.9434812981539321,4.0
numinsttopaygrest_4493213L,0.11070087137087602,55.06,0.944588306867641,-
isdebitcard_729L,0.11050799525489856,0.0,0.9456933868201899,2.0
employedfrom_700D_days_from_decision,0.10864012809023846,77.12,0.9467797881010923,-
credlmt_935A,0.10772093528627642,48.1,0.9478569974539551,-
mastercontrelectronic_519L,0.10503033708928101,20.05,0.9489073008248479,-
debtoverdue_47A,0.10216373656880662,9.23,0.949928938190536,-
outstandingamount_362A,0.10159112014899475,69.1,0.950944849392026,-
datelastinstal40dpd_247D_days_from_decision,0.10041596989685653,91.23,0.9519490090909946,-
amtinstpaidbefduel24m_4187115A,0.10008253379214578,36.76,0.952949834428916,-
collaterals_typeofguarante_359M,0.09711682270669603,0.0,0.953921002655983,16.0
instlamount_768A,0.09696069248032567,48.35,0.9548906095807862,-
firstdatedue_489D_days_from_decision,0.09498569284239028,31.58,0.9558404665092101,-
dpdmaxdatemonth_442T,0.09409520365688341,35.27,0.9567814185457788,-
numinstlswithdpd5_4187116L,0.09266310552326572,36.76,0.9577080496010115,-
numinstpaidearly_338L,0.08999447046812124,29.65,0.9586079943056929,-
pmtnum_8L,0.08886050314113896,28.91,0.9594965993371042,-
clientscnt12m_3712952L,0.08654690570000415,0.0,0.9603620683941042,-
totaloutstanddebtvalue_39A,0.08227214549162906,17.2,0.9611847898490206,-
opencred_647L,0.08172759851837882,0.0,0.9620020658342043,3.0
lastapplicationdate_877D_days_from_decision,0.08138894044453661,19.99,0.9628159552386497,-
collaterals_typeofguarante_669M,0.08037800578258229,0.0,0.9636197352964755,16.0
registaddr_zipcode_184M,0.07681259569022816,0.0,0.9643878612533778,3531.0
contaddr_district_15M,0.0737491884028267,0.0,0.9651253531374061,975.0
numberofoverdueinstlmaxdat_641D_days_from_decision,0.07246238598163061,71.55,0.9658499769972225,-
debtoutstand_525A,0.0706482725550543,9.23,0.9665564597227729,-
empladdr_district_926M,0.0694886891839339,0.0,0.9672513466146122,223.0
equalitydataagreement_891L,0.06432662843655175,0.0,0.9678946128989777,3.0
maritalst_385M,0.06081451606667907,0.0,0.9685027580596446,7.0
actualdpdtolerance_344P,0.05993498950838645,27.39,0.9691021079547285,-
pctinstlsallpaidlate6d_3546844L,0.058963139322109566,30.14,0.9696917393479495,-
lastactivateddate_801D_days_from_decision,0.05611475817573348,29.71,0.9702528869297069,-
payvacationpostpone_4187118D_days_from_decision,0.055948658071385354,99.39,0.9708123735104207,-
periodicityofpmts_1102L,0.05573983802980564,49.62,0.9713697718907188,-
credacc_credlmt_575A,0.05528695916171384,21.74,0.971922641482336,-
pmts_month_158T,0.05176540135276364,17.2,0.9724402954958637,-
dtlastpmtallstes_4499206D_days_from_decision,0.05119081711452936,64.0,0.972952203667009,-
periodicityofpmts_837L,0.05105056149746151,69.62,0.9734627092819836,-
datelastunpaid_3546854D_days_from_decision,0.0501604707368129,58.14,0.9739643139893518,-
mainoccupationinc_437A,0.05011683774249322,22.73,0.9744654823667767,-
subjectrole_93M,0.050017767477914934,0.0,0.9749656600415558,7.0
numberofcontrsvalue_258L,0.04999040697209611,17.2,0.9754655641112768,-
contractst_964M,0.048039147194087105,0.0,0.9759459555832177,199.0
sumoutstandtotal_3546847A,0.04780368574271009,29.17,0.9764239924406447,-
cacccardblochreas_147M,0.04728528299808967,0.0,0.9768968452706257,10.0
creationdate_885D_days_from_decision,0.04668333987855546,19.99,0.9773636786694112,-
mastercontrexist_109L,0.04646810861284386,20.05,0.9778283597555396,-
lastapprcommoditycat_1041M,0.045769263023021894,0.0,0.9782860523857698,45.0
daysoverduetolerancedd_3976961L,0.043846608143986554,29.65,0.9787245184672096,-
clientscnt6m_3712949L,0.04374909143453925,0.0,0.979162009381555,-
overdueamountmax2_398A,0.043025717753533525,33.58,0.9795922665590904,-
maxannuity_159A,0.04186835415649935,20.05,0.9800109501006554,-
contractst_545M,0.04075100129302291,0.0,0.9804184601135856,48.0
lastrejectcommoditycat_161M,0.04074937753400767,0.0,0.9808259538889257,45.0
lastcancelreason_561M,0.0392923488885202,0.0,0.9812188773778109,74.0
downpmt_116A,0.03865081766024448,0.0,0.9816053855544133,-
isdebitcard_527L,0.038026619015755436,0.0,0.9819856517445709,3.0
isbidproduct_390L,0.036026999592063756,0.0,0.9823459217404915,3.0
classificationofcontr_400M,0.03581421109875928,0.0,0.982704063851479,302.0
numinstpaidlate1d_3546852L,0.03493036535026395,29.65,0.9830533675049817,-
sellerplacescnt_216L,0.034341453349167286,0.0,0.9833967820384734,-
gender_992L,0.031294578293568714,0.0,0.9837097278214091,3.0
forweek_528L,0.030123060912485573,97.61,0.984010958430534,-
for3years_128L,0.029716179855904377,97.61,0.9843081202290931,-
pmtaverage_4955615A,0.029460666517091165,95.29,0.984602726894264,-
empladdr_zipcode_114M,0.02910529309836435,0.0,0.9848937798252477,3339.0
assignmentdate_4527235D_days_from_decision,0.029034244175132354,92.47,0.985184122266999,-
